,Employee,Day,TSlot,Assignment
0,Employee501603,15/11/2018,09:00:00,Downtown Platform
1,Employee501603,15/11/2018,09:15:00,Downtown Platform
2,Employee501603,15/11/2018,09:30:00,Downtown Platform
3,Employee501603,15/11/2018,09:45:00,Downtown Platform
4,Employee501603,15/11/2018,10:00:00,Downtown Platform
5,Employee501603,15/11/2018,10:15:00,Downtown Platform
6,Employee501603,15/11/2018,10:30:00,Downtown Platform
7,Employee501603,15/11/2018,10:45:00,Downtown Platform
8,Employee501603,15/11/2018,11:00:00,Downtown Platform
9,Employee501603,15/11/2018,11:15:00,Downtown Platform
10,Employee501603,15/11/2018,11:30:00,Downtown Platform
11,Employee501603,15/11/2018,11:45:00,Downtown Platform
12,Employee501603,15/11/2018,12:00:00,Downtown Platform
13,Employee501603,15/11/2018,12:15:00,Downtown Platform
14,Employee501603,15/11/2018,12:30:00,Downtown Platform
15,Employee501603,15/11/2018,12:45:00,Downtown Platform
16,Employee501603,15/11/2018,13:00:00,Downtown Platform
17,Employee501603,15/11/2018,13:15:00,Downtown Platform
18,Employee501603,15/11/2018,13:30:00,Downtown Platform
19,Employee501603,15/11/2018,13:45:00,Downtown Platform
20,Employee501603,15/11/2018,14:00:00,Downtown Platform
21,Employee501603,15/11/2018,14:15:00,Downtown Platform
22,Employee501603,15/11/2018,14:30:00,Downtown Platform
23,Employee501603,15/11/2018,14:45:00,Downtown Platform
24,Employee501603,15/11/2018,15:00:00,Downtown Platform
25,Employee501603,15/11/2018,15:15:00,Downtown Platform
26,Employee501603,15/11/2018,15:30:00,Downtown Platform
27,Employee501603,15/11/2018,15:45:00,Downtown Platform
28,Employee501603,15/11/2018,16:00:00,Downtown Platform
29,Employee501603,15/11/2018,16:15:00,Downtown Platform
30,Employee501603,15/11/2018,16:30:00,Downtown Platform
31,Employee501603,15/11/2018,16:45:00,Downtown Platform
32,Employee501603,16/11/2018,09:00:00,Downtown Platform
33,Employee501603,16/11/2018,09:15:00,Downtown Platform
34,Employee501603,16/11/2018,09:30:00,Downtown Platform
35,Employee501603,16/11/2018,09:45:00,Downtown Platform
36,Employee501603,16/11/2018,10:00:00,Downtown Platform
37,Employee501603,16/11/2018,10:15:00,Downtown Platform
38,Employee501603,16/11/2018,10:30:00,Downtown Platform
39,Employee501603,16/11/2018,10:45:00,Downtown Platform
40,Employee501603,16/11/2018,11:00:00,Downtown Platform
41,Employee501603,16/11/2018,11:15:00,Downtown Platform
42,Employee501603,16/11/2018,11:30:00,Downtown Platform
43,Employee501603,16/11/2018,11:45:00,Downtown Platform
44,Employee501603,16/11/2018,12:00:00,Downtown Platform
45,Employee501603,16/11/2018,12:15:00,Downtown Platform
46,Employee501603,16/11/2018,12:30:00,Downtown Platform
47,Employee501603,16/11/2018,12:45:00,Downtown Platform
48,Employee501603,16/11/2018,13:00:00,Downtown Platform
49,Employee501603,16/11/2018,13:15:00,Downtown Platform
50,Employee501603,16/11/2018,13:30:00,Downtown Platform
51,Employee501603,16/11/2018,13:45:00,Downtown Platform
52,Employee501603,16/11/2018,14:00:00,Downtown Platform
53,Employee501603,16/11/2018,14:15:00,Downtown Platform
54,Employee501603,16/11/2018,14:30:00,Downtown Platform
55,Employee501603,16/11/2018,14:45:00,Downtown Platform
56,Employee501603,16/11/2018,15:00:00,Downtown Platform
57,Employee501603,16/11/2018,15:15:00,Downtown Platform
58,Employee501603,16/11/2018,15:30:00,Downtown Platform
59,Employee501603,16/11/2018,15:45:00,Downtown Platform
60,Employee501603,16/11/2018,16:00:00,Downtown Platform
61,Employee501603,16/11/2018,16:15:00,Downtown Platform
62,Employee501603,16/11/2018,16:30:00,Downtown Platform
63,Employee501603,16/11/2018,16:45:00,Downtown Platform
64,Employee501715,15/11/2018,09:00:00,Downtown Lobby
65,Employee501715,15/11/2018,09:15:00,Downtown Lobby
66,Employee501715,15/11/2018,09:30:00,Downtown Lobby
67,Employee501715,15/11/2018,09:45:00,Downtown Lobby
68,Employee501715,15/11/2018,10:00:00,Downtown Lobby
69,Employee501715,15/11/2018,10:15:00,Downtown Lobby
70,Employee501715,15/11/2018,10:30:00,Downtown Lobby
71,Employee501715,15/11/2018,10:45:00,Downtown Lobby
72,Employee501715,15/11/2018,11:00:00,Downtown Lobby
73,Employee501715,15/11/2018,11:15:00,Downtown Lobby
74,Employee501715,15/11/2018,11:30:00,Downtown Lobby
75,Employee501715,15/11/2018,11:45:00,Downtown Lobby
76,Employee501715,15/11/2018,12:00:00,Downtown Lobby
77,Employee501715,15/11/2018,12:15:00,Downtown Lobby
78,Employee501715,15/11/2018,12:30:00,Downtown Lobby
79,Employee501715,15/11/2018,12:45:00,Downtown Lobby
80,Employee501715,15/11/2018,13:00:00,Downtown Lobby
81,Employee501715,15/11/2018,13:15:00,Downtown Lobby
82,Employee501715,15/11/2018,13:30:00,Downtown Lobby
83,Employee501715,15/11/2018,13:45:00,Downtown Lobby
84,Employee501715,15/11/2018,14:00:00,Downtown Lobby
85,Employee501715,15/11/2018,14:15:00,Downtown Lobby
86,Employee501715,15/11/2018,14:30:00,Downtown Lobby
87,Employee501715,15/11/2018,14:45:00,Downtown Lobby
88,Employee501715,15/11/2018,15:00:00,Downtown Lobby
89,Employee501715,15/11/2018,15:15:00,Downtown Lobby
90,Employee501715,15/11/2018,15:30:00,Downtown Lobby
91,Employee501715,15/11/2018,15:45:00,Downtown Lobby
92,Employee501715,15/11/2018,16:00:00,Downtown Lobby
93,Employee501715,15/11/2018,16:15:00,Downtown Lobby
94,Employee501715,15/11/2018,16:30:00,Downtown Lobby
95,Employee501715,15/11/2018,16:45:00,Downtown Lobby
96,Employee501715,16/11/2018,09:00:00,Downtown Lobby
97,Employee501715,16/11/2018,09:15:00,Downtown Lobby
98,Employee501715,16/11/2018,09:30:00,Downtown Lobby
99,Employee501715,16/11/2018,09:45:00,Downtown Lobby
100,Employee501715,16/11/2018,10:00:00,Downtown Lobby
101,Employee501715,16/11/2018,10:15:00,Downtown Lobby
102,Employee501715,16/11/2018,10:30:00,Downtown Lobby
103,Employee501715,16/11/2018,10:45:00,Downtown Lobby
104,Employee501715,16/11/2018,11:00:00,Downtown Lobby
105,Employee501715,16/11/2018,11:15:00,Downtown Lobby
106,Employee501715,16/11/2018,11:30:00,Downtown Lobby
107,Employee501715,16/11/2018,11:45:00,Downtown Lobby
108,Employee501715,16/11/2018,12:00:00,Downtown Lobby
109,Employee501715,16/11/2018,12:15:00,Downtown Lobby
110,Employee501715,16/11/2018,12:30:00,Downtown Lobby
111,Employee501715,16/11/2018,12:45:00,Downtown Lobby
112,Employee501715,16/11/2018,13:00:00,Downtown Lobby
113,Employee501715,16/11/2018,13:15:00,Downtown Lobby
114,Employee501715,16/11/2018,13:30:00,Downtown Lobby
115,Employee501715,16/11/2018,13:45:00,Downtown Lobby
116,Employee501715,16/11/2018,14:00:00,Downtown Lobby
117,Employee501715,16/11/2018,14:15:00,Downtown Lobby
118,Employee501715,16/11/2018,14:30:00,Downtown Lobby
119,Employee501715,16/11/2018,14:45:00,Downtown Lobby
120,Employee501715,16/11/2018,15:00:00,Downtown Lobby
121,Employee501715,16/11/2018,15:15:00,Downtown Lobby
122,Employee501715,16/11/2018,15:30:00,Downtown Lobby
123,Employee501715,16/11/2018,15:45:00,Downtown Lobby
124,Employee501715,16/11/2018,16:00:00,Downtown Lobby
125,Employee501715,16/11/2018,16:15:00,Downtown Lobby
126,Employee501715,16/11/2018,16:30:00,Downtown Lobby
127,Employee501715,16/11/2018,16:45:00,Downtown Lobby
128,Employee501716,15/11/2018,09:00:00,Downtown Lobby
129,Employee501716,15/11/2018,09:15:00,Downtown Lobby
130,Employee501716,15/11/2018,09:30:00,Downtown Lobby
131,Employee501716,15/11/2018,09:45:00,Downtown Lobby
132,Employee501716,15/11/2018,10:00:00,Downtown Lobby
133,Employee501716,15/11/2018,10:15:00,Downtown Lobby
134,Employee501716,15/11/2018,10:30:00,Downtown Lobby
135,Employee501716,15/11/2018,10:45:00,Downtown Lobby
136,Employee501716,15/11/2018,11:00:00,Downtown Lobby
137,Employee501716,15/11/2018,11:15:00,Downtown Lobby
138,Employee501716,15/11/2018,11:30:00,Downtown Lobby
139,Employee501716,15/11/2018,11:45:00,Downtown Lobby
140,Employee501716,15/11/2018,12:00:00,Downtown Lobby
141,Employee501716,15/11/2018,12:15:00,Downtown Lobby
142,Employee501716,15/11/2018,12:30:00,Downtown Lobby
143,Employee501716,15/11/2018,12:45:00,Downtown Lobby
144,Employee501716,15/11/2018,13:00:00,Downtown Lobby
145,Employee501716,15/11/2018,13:15:00,Downtown Lobby
146,Employee501716,15/11/2018,13:30:00,Downtown Lobby
147,Employee501716,15/11/2018,13:45:00,Downtown Lobby
148,Employee501716,15/11/2018,14:00:00,Downtown Lobby
149,Employee501716,15/11/2018,14:15:00,Downtown Lobby
150,Employee501716,15/11/2018,14:30:00,Downtown Lobby
151,Employee501716,15/11/2018,14:45:00,Downtown Lobby
152,Employee501716,15/11/2018,15:00:00,Downtown Lobby
153,Employee501716,15/11/2018,15:15:00,Downtown Lobby
154,Employee501716,15/11/2018,15:30:00,Downtown Lobby
155,Employee501716,15/11/2018,15:45:00,Downtown Lobby
156,Employee501716,15/11/2018,16:00:00,Downtown Lobby
157,Employee501716,15/11/2018,16:15:00,Downtown Lobby
158,Employee501716,15/11/2018,16:30:00,Downtown Lobby
159,Employee501716,15/11/2018,16:45:00,Downtown Lobby
160,Employee501716,16/11/2018,09:00:00,Downtown Lobby
161,Employee501716,16/11/2018,09:15:00,Downtown Lobby
162,Employee501716,16/11/2018,09:30:00,Downtown Lobby
163,Employee501716,16/11/2018,09:45:00,Downtown Lobby
164,Employee501716,16/11/2018,10:00:00,Downtown Lobby
165,Employee501716,16/11/2018,10:15:00,Downtown Lobby
166,Employee501716,16/11/2018,10:30:00,Downtown Lobby
167,Employee501716,16/11/2018,10:45:00,Downtown Lobby
168,Employee501716,16/11/2018,11:00:00,Downtown Lobby
169,Employee501716,16/11/2018,11:15:00,Downtown Lobby
170,Employee501716,16/11/2018,11:30:00,Downtown Lobby
171,Employee501716,16/11/2018,11:45:00,Downtown Lobby
172,Employee501716,16/11/2018,12:00:00,Downtown Lobby
173,Employee501716,16/11/2018,12:15:00,Downtown Lobby
174,Employee501716,16/11/2018,12:30:00,Downtown Lobby
175,Employee501716,16/11/2018,12:45:00,Downtown Lobby
176,Employee501716,16/11/2018,13:00:00,Downtown Lobby
177,Employee501716,16/11/2018,13:15:00,Downtown Lobby
178,Employee501716,16/11/2018,13:30:00,Downtown Lobby
179,Employee501716,16/11/2018,13:45:00,Downtown Lobby
180,Employee501716,16/11/2018,14:00:00,Downtown Lobby
181,Employee501716,16/11/2018,14:15:00,Downtown Lobby
182,Employee501716,16/11/2018,14:30:00,Downtown Lobby
183,Employee501716,16/11/2018,14:45:00,Downtown Lobby
184,Employee501716,16/11/2018,15:00:00,Downtown Lobby
185,Employee501716,16/11/2018,15:15:00,Downtown Lobby
186,Employee501716,16/11/2018,15:30:00,Downtown Lobby
187,Employee501716,16/11/2018,15:45:00,Downtown Lobby
188,Employee501716,16/11/2018,16:00:00,Downtown Lobby
189,Employee501716,16/11/2018,16:15:00,Downtown Lobby
190,Employee501716,16/11/2018,16:30:00,Downtown Lobby
191,Employee501716,16/11/2018,16:45:00,Downtown Lobby
192,Employee501721,15/11/2018,09:00:00,BM Admin Time
193,Employee501721,15/11/2018,09:15:00,BM Admin Time
194,Employee501721,15/11/2018,09:30:00,BM Admin Time
195,Employee501721,15/11/2018,09:45:00,BM Admin Time
196,Employee501721,15/11/2018,10:00:00,BM Admin Time
197,Employee501721,15/11/2018,10:15:00,BM Admin Time
198,Employee501721,15/11/2018,10:30:00,BM Admin Time
199,Employee501721,15/11/2018,10:45:00,BM Admin Time
200,Employee501721,15/11/2018,11:00:00,BM Admin Time
201,Employee501721,15/11/2018,11:15:00,BM Admin Time
202,Employee501721,15/11/2018,11:30:00,BM Admin Time
203,Employee501721,15/11/2018,11:45:00,BM Admin Time
204,Employee501721,15/11/2018,12:00:00,BM Admin Time
205,Employee501721,15/11/2018,12:15:00,BM Admin Time
206,Employee501721,15/11/2018,12:30:00,BM Admin Time
207,Employee501721,15/11/2018,12:45:00,BM Admin Time
208,Employee501721,15/11/2018,13:00:00,BM Admin Time
209,Employee501721,15/11/2018,13:15:00,BM Admin Time
210,Employee501721,15/11/2018,13:30:00,BM Admin Time
211,Employee501721,15/11/2018,13:45:00,BM Admin Time
212,,,,
213,,,,
214,,,,
215,,,,
216,Employee501721,15/11/2018,15:00:00,BM Admin Time
217,Employee501721,15/11/2018,15:15:00,BM Admin Time
218,Employee501721,15/11/2018,15:30:00,BM Admin Time
219,Employee501721,15/11/2018,15:45:00,BM Admin Time
220,Employee501721,15/11/2018,16:00:00,Downtown Platform
221,Employee501721,15/11/2018,16:15:00,Downtown Platform
222,Employee501721,15/11/2018,16:30:00,Downtown Platform
223,Employee501721,15/11/2018,16:45:00,Downtown Platform
224,Employee501721,16/11/2018,09:00:00,BM Admin Time
225,Employee501721,16/11/2018,09:15:00,BM Admin Time
226,Employee501721,16/11/2018,09:30:00,BM Admin Time
227,Employee501721,16/11/2018,09:45:00,BM Admin Time
228,Employee501721,16/11/2018,10:00:00,BM Admin Time
229,Employee501721,16/11/2018,10:15:00,BM Admin Time
230,Employee501721,16/11/2018,10:30:00,BM Admin Time
231,Employee501721,16/11/2018,10:45:00,BM Admin Time
232,Employee501721,16/11/2018,11:00:00,BM Admin Time
233,Employee501721,16/11/2018,11:15:00,BM Admin Time
234,Employee501721,16/11/2018,11:30:00,BM Admin Time
235,Employee501721,16/11/2018,11:45:00,BM Admin Time
236,Employee501721,16/11/2018,12:00:00,BM Admin Time
237,Employee501721,16/11/2018,12:15:00,BM Admin Time
238,Employee501721,16/11/2018,12:30:00,BM Admin Time
239,Employee501721,16/11/2018,12:45:00,BM Admin Time
240,Employee501721,16/11/2018,13:00:00,BM Admin Time
241,Employee501721,16/11/2018,13:15:00,BM Admin Time
242,Employee501721,16/11/2018,13:30:00,BM Admin Time
243,Employee501721,16/11/2018,13:45:00,BM Admin Time
244,Employee501721,16/11/2018,14:00:00,BM Admin Time
245,Employee501721,16/11/2018,14:15:00,BM Admin Time
246,Employee501721,16/11/2018,14:30:00,BM Admin Time
247,Employee501721,16/11/2018,14:45:00,BM Admin Time
248,Employee501721,16/11/2018,15:00:00,BM Admin Time
249,Employee501721,16/11/2018,15:15:00,BM Admin Time
250,Employee501721,16/11/2018,15:30:00,BM Admin Time
251,Employee501721,16/11/2018,15:45:00,BM Admin Time
252,Employee501721,16/11/2018,16:00:00,Downtown Platform
253,Employee501721,16/11/2018,16:15:00,Downtown Platform
254,Employee501721,16/11/2018,16:30:00,Downtown Platform
255,Employee501721,16/11/2018,16:45:00,Downtown Platform
256,Employee501768,15/11/2018,09:00:00,Downtown Lobby
257,Employee501768,15/11/2018,09:15:00,Downtown Lobby
258,Employee501768,15/11/2018,09:30:00,Downtown Lobby
259,Employee501768,15/11/2018,09:45:00,Downtown Lobby
